forumid;forumname;fileid;filename;posturl;status
368;Wykaz obowiązujących zarządzeń Rektora Politechniki Łódzkiej;1484771;ROO 021_1_2024_1.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=13589#p16074;unknown
368;Wykaz obowiązujących zarządzeń Rektora Politechniki Łódzkiej;1642214;ROO 021_2_2025_12.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=14855#p17345;unknown
368;Wykaz obowiązujących zarządzeń Rektora Politechniki Łódzkiej;37365;RRZ_021_2_2013.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=6031#p7611;unknown
368;Wykaz obowiązujących zarządzeń Rektora Politechniki Łódzkiej;41777;RRZ_021_2_2014.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=6035#p7615;unknown
368;Wykaz obowiązujących zarządzeń Rektora Politechniki Łódzkiej;58283;RRZ_021_2_2015.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=6378#p7962;unknown
368;Wykaz obowiązujących zarządzeń Rektora Politechniki Łódzkiej;93634;RRZ_021_6_2016_271.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=6691#p8279;unknown
1258;Zarządzenia Rok 2025;1642659;Z_1_2025 15_01_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=14857#p17347;current
1258;Zarządzenia Rok 2025;1642661;Z_1_2025 15_01_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=14857#p17347;current
1258;Zarządzenia Rok 2025;1669608;Z_10_2025 21_03_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15409#p17900;current
1258;Zarządzenia Rok 2025;1669610;Z_10_2025 21_03_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15409#p17900;current
1258;Zarządzenia Rok 2025;1675875;Z_11_2025 27_03_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15423#p17914;current
1258;Zarządzenia Rok 2025;1675877;Z_11_2025 27_03_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15423#p17914;current
1258;Zarządzenia Rok 2025;1676950;Z_12_2025 01_04_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15442#p17933;current
1258;Zarządzenia Rok 2025;1676952;Z_12_2025 01_04_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15442#p17933;current
1258;Zarządzenia Rok 2025;1678075;Z_13_2025 07_04_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15462#p17953;current
1258;Zarządzenia Rok 2025;1678073;Z_13_2025 07_04_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15462#p17953;current
1258;Zarządzenia Rok 2025;1689690;Z_14_2025 21_05_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15574#p18065;current
1258;Zarządzenia Rok 2025;1689692;Z_14_2025 21_05_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15574#p18065;current
1258;Zarządzenia Rok 2025;1691249;Z_15_2025 21_05_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15575#p18066;current
1258;Zarządzenia Rok 2025;1691251;Z_15_2025 21_05_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15575#p18066;current
1258;Zarządzenia Rok 2025;1705012;Z_16_2025 16_06_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15663#p18154;current
1258;Zarządzenia Rok 2025;1705014;Z_16_2025 16_06_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15663#p18154;current
1258;Zarządzenia Rok 2025;1705036;Z_17_2025 16_06_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15664#p18155;current
1258;Zarządzenia Rok 2025;1705038;Z_17_2025 16_06_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15664#p18155;current
1258;Zarządzenia Rok 2025;1705078;Z_18_2025 16_06_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15666#p18157;current
1258;Zarządzenia Rok 2025;1705076;Z_18_2025 16_06_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15666#p18157;current
1258;Zarządzenia Rok 2025;1705192;Z_19_2025 17_06_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15667#p18158;current
1258;Zarządzenia Rok 2025;1705194;Z_19_2025 17_06_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15667#p18158;current
1258;Zarządzenia Rok 2025;1650529;Z_2_2025 27_01_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15231#p17721;current
1258;Zarządzenia Rok 2025;1650527;Z_2_2025 27_01_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15231#p17721;current
1258;Zarządzenia Rok 2025;1705223;Z_20_2025 17_06_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15668#p18159;current
1258;Zarządzenia Rok 2025;1705225;Z_20_2025 17_06_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15668#p18159;current
1258;Zarządzenia Rok 2025;1705396;Z_21_2025 18_06_2025.docx;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15670#p18161;current
1258;Zarządzenia Rok 2025;1705394;Z_21_2025 18_06_2025.pdf;https://adm.edu.p.lodz.pl/mod/forum/discuss.php?d=15670#p18161;current
